+----------------------------------------+--------------+-----------+
| Property                               |        Value |      Unit |
| Standard Volume:                       |              |           |
| :: CO2(l)                              |   0.0000e+00 |    m3/mol |
| :: C7H16(l)                            |   0.0000e+00 |    m3/mol |
| :: C12H26(l)                           |   0.0000e+00 |    m3/mol |
| :: CO2(g)                              |   0.0000e+00 |    m3/mol |
| :: C7H16(g)                            |   0.0000e+00 |    m3/mol |
| :: C12H26(g)                           |   0.0000e+00 |    m3/mol |
| Standard Gibbs Energy (formation):     |              |           |
| :: CO2(l)                              |       0.0000 |     J/mol |
| :: C7H16(l)                            |       0.0000 |     J/mol |
| :: C12H26(l)                           |       0.0000 |     J/mol |
| :: CO2(g)                              | -393283.0616 |     J/mol |
| :: C7H16(g)                            |       0.0000 |     J/mol |
| :: C12H26(g)                           |       0.0000 |     J/mol |
| Standard Enthalpy (formation):         |              |           |
| :: CO2(l)                              |       0.0000 |     J/mol |
| :: C7H16(l)                            |       0.0000 |     J/mol |
| :: C12H26(l)                           |       0.0000 |     J/mol |
| :: CO2(g)                              | -393695.0284 |     J/mol |
| :: C7H16(g)                            |       0.0000 |     J/mol |
| :: C12H26(g)                           |       0.0000 |     J/mol |
| Standard Entropy (formation):          |              |           |
| :: CO2(l)                              |       0.0000 | J/(mol*K) |
| :: C7H16(l)                            |       0.0000 | J/(mol*K) |
| :: C12H26(l)                           |       0.0000 | J/(mol*K) |
| :: CO2(g)                              |      -1.4053 | J/(mol*K) |
| :: C7H16(g)                            |       0.0000 | J/(mol*K) |
| :: C12H26(g)                           |       0.0000 | J/(mol*K) |
| Standard Internal Energy (formation):  |              |           |
| :: CO2(l)                              |       0.0000 |     J/mol |
| :: C7H16(l)                            |       0.0000 |     J/mol |
| :: C12H26(l)                           |       0.0000 |     J/mol |
| :: CO2(g)                              | -393695.0284 |     J/mol |
| :: C7H16(g)                            |       0.0000 |     J/mol |
| :: C12H26(g)                           |       0.0000 |     J/mol |
| Standard Helmholtz Energy (formation): |              |           |
| :: CO2(l)                              |       0.0000 |     J/mol |
| :: C7H16(l)                            |       0.0000 |     J/mol |
| :: C12H26(l)                           |       0.0000 |     J/mol |
| :: CO2(g)                              | -393283.0616 |     J/mol |
| :: C7H16(g)                            |       0.0000 |     J/mol |
| :: C12H26(g)                           |       0.0000 |     J/mol |
| Standard Heat Capacity (constant P):   |              |           |
| :: CO2(l)                              |       0.0000 | J/(mol*K) |
| :: C7H16(l)                            |       0.0000 | J/(mol*K) |
| :: C12H26(l)                           |       0.0000 | J/(mol*K) |
| :: CO2(g)                              |      36.9035 | J/(mol*K) |
| :: C7H16(g)                            |       0.0000 | J/(mol*K) |
| :: C12H26(g)                           |       0.0000 | J/(mol*K) |
| Standard Heat Capacity (constant V):   |              |           |
| :: CO2(l)                              |       0.0000 | J/(mol*K) |
| :: C7H16(l)                            |       0.0000 | J/(mol*K) |
| :: C12H26(l)                           |       0.0000 | J/(mol*K) |
| :: CO2(g)                              |      36.9035 | J/(mol*K) |
| :: C7H16(g)                            |       0.0000 | J/(mol*K) |
| :: C12H26(g)                           |       0.0000 | J/(mol*K) |
+----------------------------------------+--------------+-----------+
